date,liberal,liberal_strength,liberal_file,liberal_title,conservative,conservative_strength,conservative_file,conservative_title
2011-01-01,0,0,,,0,0,,
2011-01-02,0,0,,,0,0,,
2011-01-03,0,0,,,1,1.0159828276165532,547d2a30503b0b2373d0f58e,The Spaghetti Strategy: Advice to Republicans
2011-01-04,0,0,,,0,0,,
2011-01-05,0,0,,,0,0,,
2011-01-06,0,0,,,0,0,,
2011-01-07,0,0,,,0,0,,
2011-01-08,0,0,,,419,2.400918212189748,547d2c46503b0b2373d0f763,"Horror: Arizona Rep. Gabrielle Giffords shot at Tucson event, 4 5 dead; Update: Reports that Giffords still alive, in surgery; President Obama, Speaker Boehner, Palin, Brewer react; shooter ID d as Jared Loughner"
2011-01-09,0,0,,,0,0,,
2011-01-10,0,0,,,29,0.9253280138262757,547d2a2d503b0b2373d0f58c,Mental Illness and Mass Murder
2011-01-11,1,1.1149093184476528,547d2da7503b0b2395b1ec78,Did Democrats Give Up in the Gun Control Debate?,60,3.0993172026170583,547d2c45503b0b2373d0f762,Boehner to Keep Flying Commercial
2011-01-12,0,1.1437794886057149,,,746,2.33860370526453,547d2c44503b0b2373d0f761,The worst sheriff in America; Update: Dupnik covers up; documents finally released
2011-01-13,0,0,,,162,2.0772489926934066,547d2bd3503b0b2373d0f6d1,Anti Gun Metaphor Congressman: Obama Had a  Double Barrel Effort  Last Night
2011-01-14,0,0,,,0,0.14546314469508723,,
2011-01-15,0,0,,,247,2.8862801416304382,547d2bf9503b0b2373d0f709,Tucson Shooting Victim Charged for Death Threat to Tea Party Leader
2011-01-16,0,0,,,0,0,,
2011-01-17,0,0,,,18,1.8354332442680654,547ddeb5306ba28200aa626a,Cheney: Obama Has Become  Sympathetic  to Bush Counterterror Policies
2011-01-18,0,0,,,0,0,,
2011-01-19,0,0,,,296,1.3679231812854555,547d2c44503b0b2373d0f760,The Hate Speech Inquisition
2011-01-20,0,0,,,0,0,,
2011-01-21,0,0,,,0,0.2987541691052584,,
2011-01-22,0,0,,,1,1.701336389943336,547d2a20503b0b2373d0f582,"Before Talking About Gun Control, First Learn Something About Guns!"
2011-01-23,0,0,,,0,0,,
2011-01-24,4,0.8602277987544079,547ddb6b306ba28200aa6142,Monday Briefing,0,0,,
2011-01-25,0,0,,,0,0,,
2011-01-26,0,0,,,0,0,,
2011-01-27,0,0,,,0,1.0169251738599498,,
2011-01-28,0,0,,,4,0.925331464026755,547d2a1c503b0b2373d0f580,Egypt: What s Happening Now (Updated)
2011-01-29,0,0,,,0,0.6917359846864555,,
2011-01-30,0,0,,,0,1.021662170647233,,
2011-01-31,0,0,,,0,0,,
2011-02-01,0,0,,,590,1.0011314824348945,547ddd55306ba28200aa6212,Psychiatrist Phillip Resnick on Why Parents Kill Their Own Kids
2011-02-02,0,0,,,0,0,,
2011-02-03,0,0,,,0,0.9642022073625882,,
2011-02-04,0,0,,,0,0,,
2011-02-05,0,0,,,1,1.1649993412205082,547d2a18503b0b2373d0f57e,Did the National Rifle Association Buy Congress?
2011-02-06,0,0,,,7,1.179496885399904,547d2a16503b0b2373d0f57d,What Guns Would the Founders Ban?
2011-02-07,0,0,,,322,2.380405315955372,547d2c43503b0b2373d0f75f,Obama & the U.S. Chamber of Commerce: Bad romance; Update: Fruitcake and sweet talk; plus: O s What You Must Do For Me moment
2011-02-08,0,0,,,0,0,,
2011-02-09,0,0,,,156,0.6333175166395059,547ddd54306ba28200aa6211,The Littlest Smuggler: Girl Tries to Bring 74 Phones Into Colombian Prison
2011-02-10,0,0,,,1,0.925905602527699,547d2a14503b0b2373d0f57c,They All Call Her  Gabby 
2011-02-11,0,0,,,0,0,,
2011-02-12,0,0,,,0,0.9217473325728717,,
2011-02-13,0,0,,,186,0.8674819196610482,547d2a11503b0b2373d0f57a,"George Soros, Nazi Obsessive"
2011-02-14,0,0,,,0,1.7562343690329258,,
2011-02-15,0,0,,,0,0,,
2011-02-16,0,0,,,3,1.8664305123835567,547d2a0c503b0b2373d0f576,Can Sarah Upstage Barack?
2011-02-17,0,0,,,0,0,,
2011-02-18,0,0,,,0,0.5673319642790424,,
2011-02-19,0,0,,,0,0,,
2011-02-20,0,0,,,1032,0.948130035636406,547d2bf9503b0b2373d0f708,Is Donald Trump a Conservative?
2011-02-21,0,0,,,0,0,,
2011-02-22,0,0.1885623215926094,,,0,0.625658594096172,,
2011-02-23,0,0,,,0,0,,
2011-02-24,0,0,,,0,0.9476996833953032,,
2011-02-25,0,0,,,1042,0.8286365595683522,547ddeb4306ba28200aa6269,The Lab Rat: A Better Way to Diagnose ADHD
2011-02-26,0,0,,,2,1.239686052372024,547d2a04503b0b2373d0f571,"Well-Meaning or Not, Obama Threatens America"
2011-02-27,0,0,,,1,0.9799733217718155,547d2a03503b0b2373d0f56f,Breaking: Iran Has Several Military Bases in Libya
2011-02-28,0,0,,,0,0,,
2011-03-01,0,0,,,0,1.2396795705556514,,
2011-03-02,0,0,,,0,0,,
2011-03-03,0,0,,,0,0,,
2011-03-04,0,0,,,36,0.9644999739575274,547d2a00503b0b2373d0f56c,Murdered Border Patrol Agent Brian Terry Was Armed with   Beanbags?
2011-03-05,0,0,,,0,0,,
2011-03-06,0,0,,,0,0,,
2011-03-07,0,0,,,19,0.46146383894636134,547d29fe503b0b2373d0f56b,What We re Talking About When We Talk About Big Government
2011-03-08,0,0,,,0,0,,
2011-03-09,0,0,,,0,0.9692486091701303,,
2011-03-10,0,0,,,0,0.9780706520560277,,
2011-03-11,0,0,,,0,0,,
2011-03-12,0,0,,,0,0,,
2011-03-13,22,0.06485638618027076,547dda99306ba28200aa60e4,Obama Calls for  Nimbler  Background Checks,0,0,,
2011-03-14,0,0,,,0,1.9519645594655273,,
2011-03-15,0,0,,,7,0.8315034507724025,547d29f7503b0b2373d0f567,"Fear the Media Meltdown, Not the Nuclear One (UPDATED)"
2011-03-16,0,0,,,0,0,,
2011-03-17,0,0,,,1340,1.844035163422866,547ddc16306ba28200aa6193,How Arguing Improves Students  Reasoning Skills
2011-03-18,0,0,,,0,0,,
2011-03-19,0,0,,,0,0,,
2011-03-20,0,0,,,0,0,,
2011-03-21,0,0,,,4,0.059633276342313773,547ddd7a306ba28200aa621c,Obama Touts  Partnership and Equality 
2011-03-22,4,0.6772039351294521,547ddd79306ba28200aa621b,Homeward Bound,0,0,,
2011-03-23,0,0,,,0,0,,
2011-03-24,0,0,,,0,0,,
2011-03-25,0,0,,,0,0,,
2011-03-26,0,0,,,0,0.7814944658296833,,
2011-03-27,0,0,,,0,0,,
2011-03-28,0,0,,,1,2.3672345841656144,547d1d09503b0b22c73c72f8,Obama Administration Gives Guns to Mexican Hitmen
2011-03-29,0,0,,,0,1.183317488299272,,
2011-03-30,0,0,,,191,2.261793480787057,547d2c43503b0b2373d0f75e,"Obama s Energy Speech: Pledges to Cut Oil Imports, Drill for Green Ingenuity Domestically"
2011-03-31,0,0,,,0,0,,
2011-04-01,0,0,,,734,2.0572939537747437,547d2bd2503b0b2373d0f6cf,Stop ATF s anti-gun zealots
2011-04-02,0,0,,,5,1.603401117395357,547d29ee503b0b2373d0f561,UN Ignores Its Own Data to Promote Gun Ban
2011-04-03,0,0,,,0,0,,
2011-04-04,0,0,,,0,0,,
2011-04-05,0,0,,,0,0,,
2011-04-06,28,0.9573545549149208,547ddcdc306ba28200aa61f7,"Hi, Barack Obama Wants to Be Friends on Facebook",57,2.0226657151217298,547d2bf8503b0b2373d0f707,Debbie Wasserman Schultz to Head DNC
2011-04-07,0,0,,,0,0,,
2011-04-08,0,0,,,0,0,,
2011-04-09,0,0,,,0,0,,
2011-04-10,0,0,,,0,0,,
2011-04-11,0,0,,,0,0,,
2011-04-12,0,0,,,0,0.9562033187977214,,
2011-04-13,0,0,,,0,0,,
2011-04-14,0,0,,,0,1.072811957244132,,
2011-04-15,0,0,,,0,0.8936377223637705,,
2011-04-16,0,0,,,0,0.9510374838680503,,
2011-04-17,0,0,,,0,1.20766307274471,,
2011-04-18,0,0,,,127,2.592101454134527,547d2c42503b0b2373d0f75d,United Nations to Debate Human Rights for  Mother Earth  (they ll do anything to get out of paying those parking tickets)
2011-04-19,0,0,,,0,0,,
2011-04-20,0,0,,,149,0.2773447525768362,547ddd14306ba28200aa6207,Forget D.C.   Real Change Is in the Nation s Statehouses
2011-04-21,0,0,,,0,0,,
2011-04-22,0,0,,,0,0,,
2011-04-23,0,0,,,0,0,,
2011-04-24,0,0,,,0,0,,
2011-04-25,0,0,,,0,0,,
2011-04-26,0,0,,,0,0,,
2011-04-27,0,0,,,0,0,,
2011-04-28,0,0,,,0,0,,
2011-04-29,0,0,,,0,0,,
2011-04-30,0,0,,,0,0,,
2011-05-01,0,0,,,0,0,,
2011-05-02,0,0.2435850779492955,,,0,0,,
2011-05-03,0,0,,,0,0,,
2011-05-04,0,0,,,4,0.43329390693347125,547ddc99306ba28200aa61df,Pawlenty in Iowa: Let s Get This Campaign Started
2011-05-05,0,0,,,0,0,,
2011-05-06,0,0.22117526885432812,,,1,0.9690065520055208,547d29eb503b0b2373d0f55e,Time for Daylight: U.S. Weapons Reaching Cartel Hands a Huge Scandal
2011-05-07,0,0,,,0,1.0147388034338138,,
2011-05-08,0,0,,,0,0,,
2011-05-09,0,0,,,0,0,,
2011-05-10,0,0,,,2252,1.443217746653497,547ddc00306ba28200aa618b,Texas Senate Approves College Concealed Carry Bill
2011-05-11,0,0,,,0,0,,
2011-05-12,0,0,,,0,0,,
2011-05-13,0,0,,,0,0,,
2011-05-14,0,0,,,0,0,,
2011-05-15,0,0,,,0,2.454465167271576,,
2011-05-16,0,0,,,0,0.9830376533387926,,
2011-05-17,0,0,,,0,1.0180631183158293,,
2011-05-18,0,0,,,7,1.0505008532992695,547d29e2503b0b2373d0f555,U.S. Weapons in Cartel Hands? Blame Uncle Sam
2011-05-19,0,0,,,0,0,,
2011-05-20,0,0,,,0,0,,
2011-05-21,0,0,,,0,0.9691404322856528,,
2011-05-22,0,0,,,0,0,,
2011-05-23,0,0,,,0,0,,
2011-05-24,0,0,,,0,0.998708876166674,,
2011-05-25,0,0,,,0,0,,
2011-05-26,0,0,,,0,1.7678297093401658,,
2011-05-27,0,0,,,0,0,,
2011-05-28,0,0,,,0,0.9211930003812868,,
2011-05-29,0,0,,,0,0,,
2011-05-30,0,0,,,3,0.9301251022853064,547d29e1503b0b2373d0f554,CA Braces for Coming Tidal Wave of Released Felons
2011-05-31,0,0,,,0,0.7770452490401695,,
2011-06-01,0,0,,,0,0,,
2011-06-02,0,0,,,0,0.6376704159945207,,
2011-06-03,0,0,,,0,0,,
2011-06-04,0,0,,,0,0,,
2011-06-05,0,0,,,0,0,,
2011-06-06,498,0.07119144561627241,547ddeb1306ba28200aa6268,CDC: Why Gay and Bisexual Teens Are More Likely to Risk Their Health,21,0.8987670996669685,547d29df503b0b2373d0f552,CDC Misrepresents Their Crime Data to Promote Gun Control
2011-06-07,0,0,,,0,0,,
2011-06-08,0,0,,,4,0.8997115899413967,547d29de503b0b2373d0f551,The Case for SWAT Teams
2011-06-09,0,0,,,11,1.05621452329435,547ddc98306ba28200aa61de,Romney for President:  He s Not Going to Change His Mind  (At Least This One Time)
2011-06-10,0,0,,,0,0,,
2011-06-11,0,0,,,0,0.9674717778171567,,
2011-06-12,0,0,,,0,0,,
2011-06-13,0,0,,,0,0.9149457275675086,,
2011-06-14,0,0,,,0,0.9852284624247009,,
2011-06-15,0,0,,,0,0,,
2011-06-16,0,0,,,0,0,,
2011-06-17,0,0,,,0,0.9663157068773729,,
2011-06-18,0,0,,,0,0,,
2011-06-19,0,0,,,0,0,,
2011-06-20,0,0,,,92,4.74754193965794,547d29d4503b0b2373d0f54b,Mega-Scandal: Was  Gunwalker  a PR Op for Gun Control?
2011-06-21,0,0,,,629,1.6984687788970219,547d2c41503b0b2373d0f75c,Reminder: Another zealot waiting in ATF wings
2011-06-22,0,0,,,7,3.1263592757403353,547d1cd3503b0b22c73c72eb, Fast and Furious  Indeed   The Real Motive Behind the  Gun Walker  Fiasco
2011-06-23,0,0,,,0,1.272314767959229,,
2011-06-24,0,0,,,1,2.065556433855715,547d29ca503b0b2373d0f545,The Assault Weapons Ban: How Silly Was It? (Part Two)
2011-06-25,0,0,,,3,2.5800580422480834,547d29c5503b0b2373d0f542,"After 61 Years, Korean War Offers Modern Lessons"
2011-06-26,0,0,,,0,0,,
2011-06-27,3,0.5305100243321076,547ddff0306ba28200aa62be,Monday Briefing,0,0,,
2011-06-28,0,0,,,2,2.0937631453768217,547d29c3503b0b2373d0f540,Gunwalker: What Will Happen When Ken Melson Testifies?
2011-06-29,0,0.7631117460500337,,,0,0.9594416902623591,,
2011-06-30,0,0,,,7,3.322591293094545,547d29c0503b0b2373d0f53d,Rep. Cummings  Gunwalker Report Neglects To Mention   Gunwalker
2011-07-01,0,0,,,0,0,,
2011-07-02,0,0,,,0,0,,
2011-07-03,0,0,,,0,0,,
2011-07-04,0,0,,,2,0.9849314486950427,547d29bf503b0b2373d0f53c,Revisionomics
2011-07-05,0,0,,,0,0,,
2011-07-06,0,0,,,42,3.8571616194513383,547d29bc503b0b2373d0f539,The Future of Obama s Stealth Gun Control
2011-07-07,0,0,,,0,1.0614671162467404,,
2011-07-08,0,0,,,0,0,,
2011-07-09,0,0,,,0,0,,
2011-07-10,0,0,,,0,0,,
2011-07-11,0,0,,,18,0.9391726043575027,547d29b5503b0b2373d0f535,The Unbearable Smugness of Liberals: A Guide for the Perplexed
2011-07-12,0,0,,,347,2.497088615858562,547d2c41503b0b2373d0f75b,DOJ s Fast and Furious head fake
2011-07-13,0,0,,,2,1.047826118978141,547d29b1503b0b2373d0f533,Gunwalker: Smoking Gun Email?
2011-07-14,0,0,,,0,0,,
2011-07-15,0,0,,,0,1.0019829456048948,,
2011-07-16,0,0,,,6,1.2488586147163228,547d29ad503b0b2373d0f530,Obfuscation: Dems Push Gun Control To Hide  Gunwalker  Scandal
2011-07-17,0,0,,,0,0.9613429219506192,,
2011-07-18,0,0,,,0,0,,
2011-07-19,0,0,,,23,1.1905313471122352,547d29ab503b0b2373d0f52e,Gunwalker: ATF Targets Were Actually FBI Informants
2011-07-20,0,0,,,0,0.9727726658724818,,
2011-07-21,0,0,,,1,0.9823856923039961,547d29a8503b0b2373d0f52b,The Fear-Based Economy
2011-07-22,0,0,,,173,1.3892988733957825,547d29a5503b0b2373d0f529,Worse Than Gunwalker? State Dept. Allegedly Sold Guns to Zetas
2011-07-23,0,0,,,0,0,,
2011-07-24,0,0,,,0,0,,
2011-07-25,0,0,,,0,0,,
2011-07-26,0,0,,,165,1.2059620136335747,547ddfef306ba28200aa62bd,The Reason You re in Love With Material Possessions? Loneliness
2011-07-27,0,0,,,0,0,,
2011-07-28,0,0,,,3,1.027407154932613,547d29a3503b0b2373d0f527,Gunwalker: William Newell Circles the Wagons
2011-07-29,0,0,,,4,1.4752108525461034,547d29a0503b0b2373d0f524,Gunwalker: One Step Closer to the Oval Office
2011-07-30,0,0,,,0,0,,
2011-07-31,0,0,,,0,0,,
2011-08-01,0,0,,,0,0.01691781620862179,,
2011-08-02,0,0,,,299,0.32307408705851104,547ddfee306ba28200aa62bc,The U.S. Committed Torture. Was It Worth It?
2011-08-03,0,0,,,0,0.881592593519898,,
2011-08-04,0,0,,,0,0,,
2011-08-05,0,0,,,32,0.9341912102348171,547ddeaf306ba28200aa6266,The Interrupters: Heroes in an Urban War Zone
2011-08-06,0,0,,,3,1.9674728960626013,547d299d503b0b2373d0f521,What s Wrong with Making Future Generations Pay for our Debt?
2011-08-07,0,0,,,0,0,,
2011-08-08,0,0,,,0,0,,
2011-08-09,0,0,,,0,2.0163848214328866,,
2011-08-10,0,0,,,0,0,,
