date,liberal,liberal_strength,liberal_file,liberal_title,conservative,conservative_strength,conservative_file,conservative_title
2011-01-01,0,0,,,0,0,,
2011-01-02,0,0,,,5,1.4795313842380038,547d731f503b0b25cceb2a3f,The Failure of Liberalism Part 1
2011-01-03,0,0,,,0,0,,
2011-01-04,0,0,,,0,0,,
2011-01-05,0,0,,,0,0.9167974087894419,,
2011-01-06,0,0,,,0,0.996542256260728,,
2011-01-07,0,0,,,0,0.9979775329469079,,
2011-01-08,0,0,,,0,0,,
2011-01-09,0,0,,,0,1.0626646208849562,,
2011-01-10,0,0,,,216,0.9790016361046415,547ddcc0503b0b28339c7b8e,Idiocracy: Conservatives who say  job-killing  are spreading hate
2011-01-11,0,0,,,0,0,,
2011-01-12,0,0,,,0,0,,
2011-01-13,0,0,,,0,0,,
2011-01-14,0,0,,,0,0.9985510687246205,,
2011-01-15,0,0,,,0,0,,
2011-01-16,0,0,,,0,0,,
2011-01-17,0,0,,,0,0.9952045960303257,,
2011-01-18,0,0,,,0,0,,
2011-01-19,0,0,,,300,1.201680765901364,547ddcbf503b0b28339c7b8d,"Civility Watch: Nazis and crosshairs and killers, oh my; Update: Democrat Rep. Cohen doubles down on Nazi/KKK smears"
2011-01-20,0,0,,,0,0,,
2011-01-21,0,0,,,0,0.9623034169978302,,
2011-01-22,0,0,,,0,0,,
2011-01-23,0,0,,,0,0,,
2011-01-24,0,0,,,0,0,,
2011-01-25,0,0,,,0,0,,
2011-01-26,0,0,,,0,0,,
2011-01-27,0,0,,,0,0,,
2011-01-28,0,0,,,0,0,,
2011-01-29,0,0,,,0,0,,
2011-01-30,0,0,,,0,0,,
2011-01-31,0,0,,,0,0,,
2011-02-01,0,0,,,0,0,,
2011-02-02,0,0,,,0,0.9929172237200612,,
2011-02-03,0,0,,,0,0,,
2011-02-04,0,0,,,0,0.82019070882504,,
2011-02-05,0,0,,,0,0,,
2011-02-06,0,0,,,0,0,,
2011-02-07,0,0,,,489,2.464234046367155,547ddcbf503b0b28339c7b8c,Obama & the U.S. Chamber of Commerce: Bad romance; Update: Fruitcake and sweet talk; plus: O s What You Must Do For Me moment
2011-02-08,0,0,,,0,0,,
2011-02-09,0,0,,,0,0,,
2011-02-10,0,0,,,0,1.521701395308325,,
2011-02-11,0,0,,,0,0,,
2011-02-12,0,0,,,0,0,,
2011-02-13,0,0,,,0,0,,
2011-02-14,0,0,,,0,0.9576963452305427,,
2011-02-15,0,0,,,0,0,,
2011-02-16,0,0,,,0,1.8574200621749732,,
2011-02-17,0,0,,,0,0,,
2011-02-18,0,0,,,0,0.9943704941153528,,
2011-02-19,0,0,,,0,0,,
2011-02-20,0,0,,,0,0,,
2011-02-21,0,0,,,0,0,,
2011-02-22,0,0,,,0,0,,
2011-02-23,0,0,,,0,0,,
2011-02-24,0,0,,,0,1.9281369212624524,,
2011-02-25,0,0,,,0,0,,
2011-02-26,0,0,,,0,0,,
2011-02-27,0,0,,,0,0,,
