date,liberal,liberal_strength,liberal_file,liberal_title,conservative,conservative_strength,conservative_file,conservative_title
2011-01-01,0,0,,,0,0,,
2011-01-02,0,0,,,5,1.4795313842380038,547d731f503b0b25cceb2a3f,The Failure of Liberalism Part 1
2011-01-03,0,0,,,0,0,,
2011-01-04,63,1.7203300047851675,547d7c0d503b0b266760bca0,Right-wingers Don't Seem To 'Get It': Bashing Latinos Makes Tea Parties Happy -- And Is Long-term Political Suicide,0,0,,
2011-01-05,0,1.1872523679736673,,,0,0.9167974087894419,,
2011-01-06,27,1.1035074596968162,547d7cb1503b0b266760bd9e,Senator John McCain's Born Identity,0,0.996542256260728,,
2011-01-07,0,0,,,0,0.9979775329469079,,
2011-01-08,0,1.1462851578804938,,,0,0,,
2011-01-09,0,0,,,0,1.0626646208849562,,
2011-01-10,0,0,,,216,0.9790016361046415,547ddcc0503b0b28339c7b8e,Idiocracy: Conservatives who say  job-killing  are spreading hate
2011-01-11,0,0,,,0,0,,
2011-01-12,0,0,,,0,0,,
2011-01-13,1,1.2512314838752214,547ed3b1af21a29f747d76cb,The Real Lesson of the Tucson Tragedy,0,0,,
2011-01-14,0,0,,,0,0.9985510687246205,,
2011-01-15,162,1.646618762679318,547d7c2b503b0b266760bccf,'Moderate' Republicans Try To Do Outreach With Latinos. Lots Of Luck With That.,0,0,,
2011-01-16,0,0,,,0,0,,
2011-01-17,0,0,,,0,0.9952045960303257,,
2011-01-18,10,0.5852102246108077,547ed3a8af21a29f747d76be,Lieberman:  Time for Another Season and Another Purpose ,0,0,,
2011-01-19,0,0,,,300,1.201680765901364,547ddcbf503b0b28339c7b8d,"Civility Watch: Nazis and crosshairs and killers, oh my; Update: Democrat Rep. Cohen doubles down on Nazi/KKK smears"
2011-01-20,0,0,,,0,0,,
2011-01-21,0,0,,,0,0.9623034169978302,,
2011-01-22,67,2.136975590499768,547d7c8b503b0b266760bd5f,Bill O'Reilly's New 'Big Lie Theories',0,0,,
2011-01-23,0,0,,,0,0,,
2011-01-24,247,1.713747171327273,547d7ba5503b0b266760bbf3,Securing The Border: Why A Fence Will Never Work Until We Reform The System,0,0,,
2011-01-25,30,1.5986199477210925,547d7c9d503b0b266760bd7e,"Obama's SOTU With A Word On Ryan, Bachmann And The Gasbags",0,0,,
2011-01-26,33,1.658357840035325,547d7c19503b0b266760bcb3,Kris Kobach The Con Man: SPLC Report Lays Bare Nativist Spokesman's Scam For Local Municipalities,0,0,,
2011-01-27,0,0,,,0,0.38068826581958237,,
2011-01-28,0,1.0141008015154815,,,2,0.22722994425270593,547ed3d2af21a29f747d7701,View from Davos 2011: How Would Clinton Create Jobs?
2011-01-29,0,0,,,0,0,,
2011-01-30,0,0,,,0,0,,
2011-01-31,0,0,,,0,0,,
2011-02-01,0,0,,,0,0,,
2011-02-02,0,0,,,0,0.9929172237200612,,
