date,liberal,liberal_strength,liberal_file,liberal_title,conservative,conservative_strength,conservative_file,conservative_title
2011-01-01,0,0,,,0,0,,
2011-01-02,0,0,,,0,0,,
2011-01-03,0,0,,,0,2.523466276478305,,
2011-01-04,0,0,,,0,1.5619049901145792,,
2011-01-05,0,0,,,0,0,,
2011-01-06,0,0,,,0,0,,
2011-01-07,0,0,,,0,0,,
2011-01-08,0,0,,,0,2.505169579793309,,
2011-01-09,0,0,,,0,0,,
2011-01-10,0,0,,,0,3.7511385497989718,,
2011-01-11,0,0,,,0,2.8086664156602668,,
2011-01-12,0,0,,,0,0,,
2011-01-13,0,0,,,0,0,,
2011-01-14,0,0,,,0,0,,
2011-01-15,0,0,,,0,2.241677738747901,,
2011-01-16,0,0,,,0,0,,
2011-01-17,0,0,,,0,0,,
2011-01-18,0,0,,,0,0,,
2011-01-19,0,0,,,0,0,,
2011-01-20,0,0,,,0,1.3076183324033723,,
2011-01-21,0,0,,,0,0,,
2011-01-22,0,0,,,0,0,,
2011-01-23,0,0,,,0,0,,
2011-01-24,0,0,,,0,1.5517939701423658,,
2011-01-25,0,0,,,0,0,,
2011-01-26,0,0,,,0,0,,
2011-01-27,0,0,,,0,0,,
2011-01-28,0,0,,,0,0,,
2011-01-29,0,0,,,0,0,,
2011-01-30,0,0,,,0,0,,
2011-01-31,0,0,,,0,0,,
2011-02-01,0,0,,,0,0,,
2011-02-02,0,0,,,0,0,,
2011-02-03,0,0,,,0,0,,
2011-02-04,0,0,,,0,0,,
2011-02-05,0,0,,,0,0,,
2011-02-06,0,0,,,0,1.6971384199235462,,
2011-02-07,0,0,,,0,0,,
2011-02-08,0,0,,,0,0,,
2011-02-09,0,0,,,0,0,,
2011-02-10,0,0,,,0,0,,
2011-02-11,0,0,,,0,0,,
2011-02-12,0,0,,,0,0,,
2011-02-13,0,0,,,0,0,,
2011-02-14,0,0,,,0,2.3241042251518786,,
2011-02-15,0,0,,,0,0,,
2011-02-16,0,0,,,3,2.762728892924467,54775bd7306ba229dff76e8c,Can Sarah Upstage Barack?
2011-02-17,0,0,,,0,0,,
2011-02-18,0,0,,,0,0,,
2011-02-19,0,0,,,0,0,,
2011-02-20,0,0,,,0,0,,
2011-02-21,0,0,,,0,1.4830640265180608,,
2011-02-22,0,0,,,0,0,,
2011-02-23,0,0,,,0,1.5642548039476374,,
2011-02-24,0,0,,,0,0,,
2011-02-25,0,0,,,0,1.818131399553693,,
2011-02-26,0,0,,,2,2.8403311809218206,54775bd1306ba229dff76e89,"Well-Meaning or Not, Obama Threatens America"
2011-02-27,0,0,,,0,0,,
2011-02-28,0,0,,,0,0,,
2011-03-01,0,0,,,0,0,,
2011-03-02,0,0,,,0,0,,
2011-03-03,0,0,,,0,0,,
2011-03-04,0,0,,,0,0,,
2011-03-05,0,0,,,0,0,,
2011-03-06,0,0,,,0,0,,
2011-03-07,0,0,,,0,0,,
2011-03-08,0,0,,,0,0,,
2011-03-09,0,0,,,0,0,,
2011-03-10,0,0,,,0,0,,
2011-03-11,0,0,,,2,1.7115381613855356,54775bd0306ba229dff76e88,Paul Ryan Tops the 2012 Tea Party Presidential Poll
2011-03-12,0,0,,,0,0,,
2011-03-13,0,0,,,0,0,,
2011-03-14,0,0,,,0,0,,
2011-03-15,0,0,,,0,1.6596171587082038,,
2011-03-16,0,0,,,0,0,,
2011-03-17,0,0,,,0,0,,
2011-03-18,0,0,,,0,0,,
2011-03-19,0,0,,,0,0,,
2011-03-20,0,0,,,0,0,,
2011-03-21,0,0,,,0,1.3882326229354565,,
2011-03-22,0,0,,,0,0,,
2011-03-23,0,0,,,0,0,,
2011-03-24,0,0,,,0,0,,
2011-03-25,0,0,,,0,0,,
2011-03-26,0,0,,,0,0,,
2011-03-27,0,0,,,0,0,,
2011-03-28,0,0,,,0,0,,
2011-03-29,0,0,,,0,0,,
2011-03-30,0,0,,,0,1.4179312517935596,,
2011-03-31,0,0,,,0,0,,
2011-04-01,0,0,,,0,0,,
2011-04-02,0,0,,,0,0,,
2011-04-03,0,0,,,0,0,,
2011-04-04,0,0,,,0,0,,
2011-04-05,0,0,,,0,0,,
2011-04-06,0,0,,,0,1.9474014052173187,,
2011-04-07,0,0,,,0,0,,
2011-04-08,0,0,,,0,0,,
2011-04-09,0,0,,,0,0,,
2011-04-10,0,0,,,0,0,,
2011-04-11,0,0,,,0,0,,
2011-04-12,0,0,,,0,0,,
2011-04-13,0,0,,,0,0,,
2011-04-14,0,0,,,0,0,,
2011-04-15,0,0,,,0,0,,
2011-04-16,0,0,,,0,0,,
2011-04-17,0,0,,,0,0,,
2011-04-18,0,0,,,0,0,,
2011-04-19,0,0,,,0,0,,
2011-04-20,0,0,,,0,1.6909288588008988,,
2011-04-21,0,0,,,0,2.318228158411152,,
2011-04-22,0,0,,,0,0,,
2011-04-23,0,0,,,0,0,,
2011-04-24,0,0,,,0,0,,
2011-04-25,0,0,,,0,1.5831033901064913,,
2011-04-26,0,0,,,0,3.2880959031917625,,
2011-04-27,0,0,,,0,0,,
2011-04-28,0,0,,,0,0,,
2011-04-29,0,0,,,0,2.5094601937878673,,
2011-04-30,0,0,,,0,0,,
2011-05-01,0,0,,,0,0,,
2011-05-02,0,0,,,0,0,,
2011-05-03,0,0,,,0,0,,
2011-05-04,0,0,,,0,0,,
2011-05-05,0,0,,,0,0,,
2011-05-06,0,0,,,0,0,,
2011-05-07,0,0,,,0,0,,
2011-05-08,0,0,,,0,0,,
2011-05-09,0,0,,,0,0,,
2011-05-10,0,0,,,0,4.404293931616285,,
2011-05-11,0,0,,,0,2.942885408901084,,
2011-05-12,0,0,,,0,0,,
2011-05-13,0,0,,,0,1.1330178396329658,,
2011-05-14,0,0,,,0,0,,
2011-05-15,0,0,,,0,0,,
2011-05-16,0,0,,,0,2.17219999460308,,
2011-05-17,0,0,,,0,3.3231503798998956,,
2011-05-18,0,0,,,0,0,,
2011-05-19,0,0,,,0,0,,
2011-05-20,0,0,,,0,4.491536299863683,,
2011-05-21,0,0,,,0,0,,
2011-05-22,0,0,,,0,0,,
2011-05-23,0,0,,,0,0,,
2011-05-24,0,0,,,0,0,,
2011-05-25,0,0,,,0,1.7630232974594517,,
2011-05-26,0,0,,,0,1.3346099088888879,,
2011-05-27,0,0,,,0,1.1765047383742802,,
2011-05-28,0,0,,,0,0,,
2011-05-29,0,0,,,0,0,,
2011-05-30,0,0,,,0,0,,
2011-05-31,0,0,,,0,2.547819429577425,,
2011-06-01,0,0,,,753,1.5383242848680527,54775d29306ba229f1335ea0,Chasing Sarah: The Boys Behind the Bus
2011-06-02,0,0,,,0,0,,
2011-06-03,0,0,,,0,0,,
2011-06-04,0,0,,,0,0,,
2011-06-05,0,0,,,0,0,,
2011-06-06,0,0,,,0,0,,
2011-06-07,0,0,,,0,0,,
2011-06-08,0,0,,,0,1.612436745981538,,
2011-06-09,0,0,,,0,0,,
2011-06-10,0,0,,,0,0,,
2011-06-11,0,0,,,0,0,,
2011-06-12,0,0,,,0,0,,
2011-06-13,0,0,,,0,1.1315606718700866,,
2011-06-14,0,0,,,0,1.6124267654229456,,
2011-06-15,0,0,,,0,0,,
2011-06-16,0,0,,,0,1.4176581273092461,,
2011-06-17,0,0,,,0,0,,
2011-06-18,0,0,,,0,0,,
2011-06-19,0,0,,,0,1.4580461854336766,,
2011-06-20,0,0,,,0,0,,
2011-06-21,0,0,,,4,5.164145438060215,5478adf6306ba22e643fc7f8,why ron paul has ZERO chance to win the republican presidential primary
2011-06-22,0,0,,,0,4.261359225281383,,
2011-06-23,0,0,,,0,0,,
2011-06-24,0,0,,,0,0.9978437626754205,,
2011-06-25,0,0,,,0,0,,
2011-06-26,0,0,,,0,0,,
2011-06-27,0,0,,,0,2.8250662127380837,,
2011-06-28,0,0,,,0,0,,
2011-06-29,0,0,,,0,0,,
2011-06-30,0,0,,,0,2.6300619326914774,,
2011-07-01,0,0,,,0,2.516753287182519,,
2011-07-02,0,0,,,0,0,,
2011-07-03,0,0,,,0,0,,
2011-07-04,0,0,,,0,0,,
2011-07-05,0,0,,,1,4.603598773800826,54775bb9306ba229dff76e7c,Obama s Ineptness as President Might Save Him
2011-07-06,0,0,,,1,1.0232402279970203,5478a9d5306ba22e45931178,Twitter Town Hall
2011-07-07,0,0,,,76,2.2200195347046874,5478a9d5306ba22e45931177,Obamanomics: The Moderate Class
2011-07-08,0,0,,,0,2.318628930450857,,
2011-07-09,0,0,,,17,5.3346143106423956,5478a9d4306ba22e45931174, I am running for president  
2011-07-10,0,0,,,31,3.8821194285427554,5478a9d3306ba22e45931171,Sarah Palin:  There are important lessons we can learn from all of this 
2011-07-11,0,0,,,4,2.2715550648107588,5478a9d3306ba22e4593116e,"Horrors: ABC investigates Bachmann, finds nothing, tries to make something out of nothing"
2011-07-12,0,0,,,0,0,,
2011-07-13,0,0,,,8,1.155576185858328,5478a9d3306ba22e4593116d,Lawrence O Donnell seriously upset with Newsweek 
2011-07-14,0,0,,,0,0,,
2011-07-15,0,0,,,0,0,,
2011-07-16,0,0,,,8,2.5735580885426232,5478a9d2306ba22e4593116c,Bachmann s husband and the gays are barbarians meme
2011-07-17,0,0,,,10,2.159824008851813,5478a9d2306ba22e4593116b,Palin movie does well on opening day  unless you read The Atlantic
2011-07-18,0,0,,,0,0,,
2011-07-19,0,0,,,0,0,,
2011-07-20,0,0,,,0,0,,
2011-07-21,0,0,,,5,2.9914062438790765,5478a9d2306ba22e4593116a,"2012 Why He Will, Why He Won t"
2011-07-22,0,0,,,4,1.089174494313495,5478a9d2306ba22e45931169,Good News for Obama s Re-election Bid: He leads by four points
2011-07-23,0,0,,,0,0,,
2011-07-24,0,0,,,0,0,,
2011-07-25,0,0,,,0,0,,
2011-07-26,0,0,,,0,0,,
2011-07-27,0,0,,,3,1.28130354186026,5478a9d2306ba22e45931168,Not So Good News for Obama s Re-election Campaign
2011-07-28,0,0,,,0,0,,
2011-07-29,0,0,,,56,1.1327775612671214,54775d0f306ba229f1335e88,Gallup: No Need to Raise the Presidential Approval Rating Ceiling
2011-07-30,0,0,,,0,0,,
2011-07-31,0,0,,,14,1.6191977023618744,54775bb6306ba229dff76e7a,Why Obama Should Be Re-Elected
2011-08-01,0,0,,,0,0,,
2011-08-02,0,0,,,0,0,,
2011-08-03,0,0,,,6,1.4105081931673211,5478a9d1306ba22e45931166,The Incredible Shrinking President
2011-08-04,0,0,,,10,2.42120667251975,5478a9d1306ba22e45931165,Could this be the one promise that Obama keeps?
2011-08-05,0,0,,,0,0,,
2011-08-06,0,0,,,0,0,,
2011-08-07,0,0,,,0,0,,
2011-08-08,0,0,,,0,0,,
2011-08-09,0,0,,,12,2.2003165882938758,54775bb5306ba229dff76e79,Reviewing the Resumes: The Politicized Hiring of Eric Holder s Voting Section
2011-08-10,0,0,,,0,0,,
2011-08-11,0,0,,,1,5.5575503173968865,5478a9d1306ba22e45931164,Obama 2012: The Trailer
2011-08-12,0,0,,,0,0,,
2011-08-13,0,0,,,6,1.551717361066212,5478a9d0306ba22e45931162,Bachmann wins Iowa Republican straw poll
2011-08-14,0,0,,,1,1.0082414744343384,5478a9d0306ba22e45931161,"Never Having Caught Fire, Tim Pawlenty Quits Presidential Race"
2011-08-15,0,0,,,16,6.791724037749477,5478a9d0306ba22e45931160,Sailing Through The GOP Field
2011-08-16,0,0,,,52,1.1600740362350146,54775d28306ba229f1335e9f,"Rasmussen: Perry 29%, Romney 18%, Bachmann 13%"
2011-08-17,0,0,,,13,4.118238223699598,5478a9cf306ba22e4593115d,Maxine Waters and the Black Caucus are looking for some butt coverage
2011-08-18,0,0,,,0,0,,
2011-08-19,0,0,,,0,0,,
2011-08-20,0,0,,,4,1.6938237388433948,5478a9cf306ba22e4593115c,In Their Own Words
2011-08-21,0,0,,,9,1.4336046011054842,5478a9ce306ba22e4593115b,The upcoming Rick Perry media narrative:  He s not compassionate 
2011-08-22,0,0,,,0,0,,
2011-08-23,0,0,,,0,0,,
2011-08-24,0,0,,,2,1.8369081795519209,5478a9ce306ba22e4593115a,Taking It On Faith
2011-08-25,0,0,,,0,0,,
2011-08-26,0,0,,,1,1.4627598976862426,5478a9ce306ba22e45931159,We re Just Askin  
2011-08-27,0,0,,,0,0,,
2011-08-28,0,0,,,11,1.1476489845887454,5478a9ce306ba22e45931158,Sacramental Wine For The Goose
2011-08-29,0,0,,,4,1.448882601769134,5478a9cd306ba22e45931157,The Past Is Prologue
2011-08-30,0,0,,,23,2.715070921594256,5478a9cd306ba22e45931156,Dennis Miller for President
2011-08-31,0,0,,,2,1.1214893377682955,5478a9cd306ba22e45931155,Time To Dig Out The Fedora?
2011-09-01,0,0,,,7,4.0597054153432675,5478a9cd306ba22e45931154,Obama Gets Spanked
2011-09-02,0,0,,,11,1.2061907209765548,5478a9cc306ba22e45931152,The O now stands for  zero 
2011-09-03,0,0,,,2,2.4917033199557226,5478adde306ba22e643fc7f0,"Gerry Connolly (D, VA) concedes VA in 2012."
2011-09-04,0,0,,,0,0,,
2011-09-05,0,0,,,6,1.890219049398305,5478a9cc306ba22e45931151,The Welcome Wagon
2011-09-06,0,0,,,2,1.5355663217387192,5478a9cc306ba22e4593114e,Will She Run?
2011-09-07,0,0,,,5,1.9033845521475767,5478a9cb306ba22e4593114d,Who Wants To Shoot Sarah Palin?
2011-09-08,0,0,,,21,2.7530919794928668,5478a9cb306ba22e4593114b,How a Lowly Blogger Can Teach Obama to Create 15 Million Jobs
2011-09-09,0,0,,,6,1.1350837005789127,5478a9cb306ba22e4593114a,Perry s Wrong: Social Security Is No Ponzi Scheme
2011-09-10,0,0,,,2,1.4000785075329778,5478a9ca306ba22e45931149,Presidential Vaporware
2011-09-11,0,0,,,0,0,,
2011-09-12,0,0,,,2,2.2984253931755196,5478a9ca306ba22e45931148,Sleeping With The Enemy
2011-09-13,0,0,,,0,0,,
2011-09-14,0,0,,,0,0,,
2011-09-15,0,0,,,1,2.3514099089871747,5478a9ca306ba22e45931147,Rick Perry    spiritual  or  anti-intellectual? 
2011-09-16,0,0,,,0,1.3003563051179015,,
2011-09-17,0,0,,,86,2.4159219467427553,54775baf306ba229dff76e76,Why the GOP Fails to Reach the Black Community
2011-09-18,0,0,,,1,1.6536071103391459,54775bac306ba229dff76e75,"In 2012, GOP Could Carry Largest Percentage of Jewish Vote Since Eisenhower"
2011-09-19,0,0,,,0,0,,
2011-09-20,0,0,,,84,1.3512450179130375,54775d27306ba229f1335e9e,"Eric Holder: Seriously, We re Going to Close Gitmo Pretty Soon"
2011-09-21,0,0,,,0,0,,
2011-09-22,0,0,,,0,0,,
2011-09-23,0,0,,,0,0,,
2011-09-24,0,0,,,0,1.386586795051508,,
2011-09-25,0,0,,,41,3.49003770120971,5478a9ca306ba22e45931146,Obama Media Stooge Rebuked . . . . . By Liberals
2011-09-26,0,0,,,1,1.588835633263989,54775ba8306ba229dff76e72,Why President Obama Is Really No Worse than el Presidente Ch vez
2011-09-27,0,0,,,3,1.6140084112991717,54775ba5306ba229dff76e71,Six Ways to Fix These Painfully Embarrassing GOP Primary Debates
2011-09-28,0,0,,,0,0,,
2011-09-29,0,0,,,6,3.2109737303902586,5478a9c9306ba22e45931144,There are many who think it 
2011-09-30,0,0,,,0,0,,
2011-10-01,0,0,,,0,0,,
2011-10-02,0,0,,,1,1.2987881132207704,5478a9c8306ba22e45931143,That Just Figures 
2011-10-03,0,0,,,1,1.2103793458851893,5478a9c8306ba22e45931142,You Want A Shovel-Ready Project?
2011-10-04,0,0,,,2,1.728197384454146,5478a9c8306ba22e45931140,0bama by the Numbers; The Video
2011-10-05,0,0,,,0,1.8081938773908324,,
