date,liberal,liberal_strength,liberal_file,liberal_title,conservative,conservative_strength,conservative_file,conservative_title
2011-01-01,0,0,,,0,0,,
2011-01-02,261,4.153179081080217,5476d483306ba227264b4529,Issa Twists Himself In Knots Over 'Most Corrupt' Statement And Other GOP Talking Points,0,0,,
2011-01-03,0,0,,,0,0,,
2011-01-04,0,0,,,0,0,,
2011-01-05,1,0.880180797566944,5476e4c8306ba228b6c092a4,Post-Midterm Approval Ratings Don t Predict Re-Election Chances,0,0,,
2011-01-06,0,0,,,0,0,,
2011-01-07,0,0,,,0,0,,
2011-01-08,0,0,,,0,0,,
2011-01-09,0,0,,,0,0,,
2011-01-10,798,2.6709140161365212,5476d199306ba227264b42b7,"Republican Rhetoric, Right-Wing Terror",0,0,,
2011-01-11,0,0,,,0,0,,
2011-01-12,0,0,,,0,0,,
2011-01-13,22,2.070533328855081,5476d340306ba227264b4403,A Tale Of Two Speeches: Roundup And Reactions,0,0,,
2011-01-14,135,1.4973714276983354,5476c6cd306ba227264b3a63,"Pawlenty: If Elected In 2012, I'll Reinstate DADT",0,0,,
2011-01-15,0,0,,,0,0,,
2011-01-16,0,0,,,0,0,,
2011-01-17,299,1.8839841182888535,5476d09d306ba227264b4214,Uncloaking The Kochs: A Common Cause Event In Rancho Mirage,0,0,,
2011-01-18,92,0.8408424305800755,5476d1ba306ba227264b42dc,Lieberman Calling It Quits,0,0,,
2011-01-19,0,0,,,0,0,,
2011-01-20,1406,3.0921277998377352,5476d3e1306ba227264b449d,Do Scalia And Thomas Have A Conflict Of Interest With Their Ties To The Koch Brothers Billionaire Caucus Retreat?,0,0,,
2011-01-21,74,2.170915786546952,5476d472306ba227264b451f,Richard Trumka: America Cannot Afford A Lost Decade,0,0,,
2011-01-22,466,2.567555761841964,5476c69a306ba227264b3a40,Michele Bachmann Gets Out And Tests The Waters For Her 'Presidential' Run,0,0,,
2011-01-23,180,4.069810369889559,5476d3dd306ba227264b4499,"Shuster:  ""There Is A False Equivalency"" Between Olbermann And Fox Rhetoric -- Beck Has ""Inspired"" Acts Of Violence",0,0,,
2011-01-24,25,1.1313205363677319,5476ce04306ba227264b3fe2,Macaca Allen Wants His Senate Seat Back,0,0,,
