date,liberal,liberal_strength,liberal_file,liberal_title,conservative,conservative_strength,conservative_file,conservative_title
2011-01-01,0,0,,,0,0,,
2011-01-02,0,0,,,0,0,,
2011-01-03,0,0,,,0,0,,
2011-01-04,0,0,,,0,0,,
2011-01-05,0,0,,,0,0,,
2011-01-06,0,0,,,0,0,,
2011-01-07,0,0,,,0,0,,
2011-01-08,0,0,,,0,0,,
2011-01-09,0,0,,,0,0,,
2011-01-10,0,0,,,0,0,,
2011-01-11,0,0,,,0,0,,
2011-01-12,0,0,,,0,0,,
2011-01-13,0,0,,,0,0,,
2011-01-14,0,0,,,0,0,,
2011-01-15,0,0,,,0,0,,
2011-01-16,0,0,,,0,0,,
2011-01-17,0,0,,,18,0.9610306139269464,5478c76b306ba22f2f0d72ac,Cheney: Obama Has Become  Sympathetic  to Bush Counterterror Policies
2011-01-18,0,0,,,0,0,,
2011-01-19,0,0,,,0,0,,
2011-01-20,0,0,,,0,0,,
2011-01-21,0,0,,,523,0.8437903146232711,5478c8d6306ba22f2f0d73b9,Palin-Free Media? Dana Milbank Has A Dream
2011-01-22,0,0,,,0,0,,
2011-01-23,0,0,,,0,0,,
2011-01-24,0,0,,,0,0,,
2011-01-25,0,0,,,0,0,,
2011-01-26,0,0,,,0,0,,
2011-01-27,0,0,,,0,0,,
2011-01-28,0,0,,,0,0,,
2011-01-29,0,0,,,0,0,,
2011-01-30,0,0,,,0,0,,
2011-01-31,0,0,,,0,0,,
2011-02-01,0,0,,,0,0,,
2011-02-02,0,0,,,0,0,,
2011-02-03,0,0,,,1,0.5586891178688926,5478c72b306ba22f2f0d7278,"The Young Revolutionaries of Egypt
"
2011-02-04,0,0,,,0,0,,
2011-02-05,0,0,,,0,0,,
2011-02-06,0,0,,,0,0,,
2011-02-07,0,0,,,0,0,,
2011-02-08,0,0,,,0,0,,
2011-02-09,0,0,,,0,0,,
2011-02-10,0,0,,,0,0,,
2011-02-11,0,0,,,0,0,,
2011-02-12,0,0,,,0,0,,
2011-02-13,0,0,,,0,0,,
2011-02-14,0,0,,,0,0,,
2011-02-15,0,0,,,0,0,,
2011-02-16,0,0,,,0,0,,
2011-02-17,0,0,,,0,0,,
2011-02-18,0,0,,,0,0,,
2011-02-19,0,0,,,0,0,,
2011-02-20,0,0,,,0,0,,
2011-02-21,0,0,,,0,0,,
2011-02-22,0,0,,,0,0,,
2011-02-23,0,0,,,0,0,,
2011-02-24,0,0,,,0,0,,
2011-02-25,0,0,,,0,0,,
2011-02-26,0,0,,,0,0,,
2011-02-27,0,0,,,0,0,,
2011-02-28,0,0,,,20,2.4357425422566905,5478c732306ba22f2f0d727e,"Obama, Biden Defend Recovery Act"
2011-03-01,0,0,,,0,0,,
2011-03-02,0,0,,,0,0,,
2011-03-03,0,0,,,0,0,,
2011-03-04,0,0,,,4,2.0439852043937474,5478c8d5306ba22f2f0d73b7,The Adjustment Bureau: Matt Damon s Battle of the Angels
2011-03-05,0,0,,,0,0,,
2011-03-06,0,0,,,14,1.4558831646083739,5478c72a306ba22f2f0d7274,Lamar (!!) Nixes Trump  12!!
2011-03-07,0,0,,,0,0,,
2011-03-08,0,0,,,7,2.817331328162317,5478c711306ba22f2f0d725d,Biden Builds on Russia  Reset 
2011-03-09,0,0,,,0,0,,
2011-03-10,0,0,,,0,0,,
2011-03-11,0,0,,,0,0,,
2011-03-12,0,0,,,0,0,,
2011-03-13,0,0,,,0,0,,
2011-03-14,0,0,,,0,0,,
2011-03-15,0,0,,,0,0,,
2011-03-16,0,0,,,1,2.031990456574147,5478c714306ba22f2f0d7260,Obama Addresses the DNC
2011-03-17,0,0,,,0,0,,
2011-03-18,0,0,,,0,0,,
2011-03-19,0,0,,,0,0,,
2011-03-20,0,0,,,0,0,,
2011-03-21,0,0,,,11,4.767310699626641,5478c720306ba22f2f0d726d,WH:  It s Not About Regime Change 
2011-03-22,0,0,,,0,0,,
2011-03-23,0,0,,,0,0,,
2011-03-24,0,0,,,0,0,,
2011-03-25,0,0,,,0,0,,
2011-03-26,0,0,,,0,0,,
2011-03-27,0,0,,,0,0,,
2011-03-28,0,0,,,0,0,,
2011-03-29,0,0,,,0,0,,
2011-03-30,0,0,,,0,0,,
2011-03-31,0,0,,,0,0,,
2011-04-01,0,0,,,0,0,,
2011-04-02,0,0,,,0,0,,
2011-04-03,0,0,,,0,0,,
2011-04-04,0,0,,,0,0,,
2011-04-05,0,0,,,0,0,,
2011-04-06,0,0,,,0,0,,
2011-04-07,0,0,,,0,0,,
2011-04-08,0,0,,,0,0,,
2011-04-09,0,0,,,0,0,,
2011-04-10,0,0,,,0,0,,
2011-04-11,0,0,,,0,0,,
2011-04-12,0,0,,,0,0,,
2011-04-13,0,0,,,0,0,,
2011-04-14,0,0,,,82,1.594354258623688,5478c862306ba22f2f0d7359,Wounded Elephant Screechings
2011-04-15,0,0,,,0,0,,
2011-04-16,0,0,,,0,0,,
2011-04-17,0,0,,,0,0,,
2011-04-18,0,0,,,0,0,,
2011-04-19,0,0,,,0,0,,
2011-04-20,0,0,,,0,0,,
2011-04-21,0,0,,,0,0,,
2011-04-22,0,0,,,0,0,,
2011-04-23,0,0,,,0,0,,
2011-04-24,0,0,,,0,0,,
2011-04-25,0,0,,,0,0,,
2011-04-26,0,0,,,0,0,,
2011-04-27,0,0,,,0,0,,
2011-04-28,0,0,,,0,0,,
2011-04-29,0,0,,,0,0,,
2011-04-30,0,0,,,0,0,,
2011-05-01,0,0,,,0,0,,
2011-05-02,0,0,,,0,0,,
2011-05-03,0,0,,,0,0,,
2011-05-04,0,0,,,0,0,,
2011-05-05,0,0,,,0,0,,
2011-05-06,0,0,,,0,0,,
2011-05-07,0,0,,,0,0,,
2011-05-08,0,0,,,0,0,,
2011-05-09,0,0,,,0,0,,
2011-05-10,0,0,,,0,0,,
2011-05-11,0,0,,,0,0,,
2011-05-12,0,0,,,0,0,,
2011-05-13,0,0,,,0,0,,
2011-05-14,0,0,,,0,0,,
2011-05-15,0,0,,,0,0,,
2011-05-16,0,0,,,1344,0.3994208953759625,5478c860306ba22f2f0d7357,Trump Won t Run: GOP Can Return to Regularly Scheduled Programming
2011-05-17,0,0,,,0,0,,
2011-05-18,0,0,,,13,1.5025349441699853,5478c861306ba22f2f0d7358,"No Quarter for Gingrich, but Gleeful Sympathy from Democrats"
2011-05-19,0,0,,,0,0,,
2011-05-20,0,0,,,0,0,,
2011-05-21,0,0,,,0,0,,
2011-05-22,0,0,,,0,0,,
2011-05-23,0,0,,,31,0.9920693696389165,5478c8d0306ba22f2f0d73b6,New York s Extra Special Election: A Wake-Up Call for the GOP?
2011-05-24,0,0,,,0,0,,
2011-05-25,0,0,,,0,0,,
2011-05-26,0,0,,,0,0,,
2011-05-27,0,0,,,0,0,,
2011-05-28,0,0,,,0,0,,
2011-05-29,0,0,,,0,0,,
2011-05-30,0,0,,,0,0,,
2011-05-31,0,0,,,0,0,,
2011-06-01,0,0,,,0,2.079208754122705,,
2011-06-02,0,0,,,103,0.13627878218374123,5478c7ee306ba22f2f0d7305,"The Front Runner Makes It Official: Romney Targets Obama, Acts like Himself"
2011-06-03,0,0,,,0,0,,
2011-06-04,0,0,,,0,0,,
2011-06-05,0,0,,,0,0,,
2011-06-06,0,0,,,0,0,,
2011-06-07,0,0,,,0,0,,
2011-06-08,0,0,,,0,0,,
2011-06-09,0,0,,,0,0,,
2011-06-10,0,0,,,0,0,,
2011-06-11,0,0,,,0,0,,
2011-06-12,0,0,,,0,0,,
2011-06-13,0,0,,,0,0,,
2011-06-14,0,0,,,1693,2.138353827785956,5478c763306ba22f2f0d72a5,What You Missed While Not Watching the New Hampshire GOP Debate
2011-06-15,0,0,,,0,0,,
2011-06-16,0,0,,,0,0,,
2011-06-17,0,0,,,6,3.395273253019507,5478c7ec306ba22f2f0d7304,Friday Briefing
2011-06-18,0,0,,,0,0,,
2011-06-19,0,0,,,0,0,,
2011-06-20,0,0,,,0,0,,
2011-06-21,0,0,,,56,1.1192738822071178,5478c85f306ba22f2f0d7356,The Huntsman Road Show Opens for Business
2011-06-22,0,0,,,16,2.5308194067512213,5478c718306ba22f2f0d7263,She s In
2011-06-23,0,0,,,0,0,,
2011-06-24,0,0,,,0,0,,
2011-06-25,0,0,,,0,0,,
2011-06-26,0,0,,,0,0,,
2011-06-27,0,0,,,0,0,,
2011-06-28,0,0,,,0,0,,
2011-06-29,0,0,,,589,0.840767778347005,5478c8ce306ba22f2f0d73b5,Tom Petty: Michele Bachmann Can t Use My Song
2011-06-30,0,0,,,0,0,,
2011-07-01,0,0,,,0,0,,
2011-07-02,0,0,,,0,0,,
2011-07-03,0,0,,,0,0,,
2011-07-04,0,0,,,0,0,,
2011-07-05,0,0,,,0,0,,
2011-07-06,0,0,,,0,0,,
2011-07-07,0,0,,,0,0,,
2011-07-08,0,0,,,0,0,,
2011-07-09,0,0,,,0,0,,
2011-07-10,0,0,,,0,0,,
2011-07-11,0,0,,,0,0,,
2011-07-12,0,0,,,0,0,,
2011-07-13,0,0,,,0,0,,
2011-07-14,0,0,,,113,1.3802932606520435,5478c85c306ba22f2f0d7354,Is Obama Playing Politics With His Debt-Limit Veto Threat?
2011-07-15,0,0,,,0,0,,
2011-07-16,0,0,,,0,0,,
2011-07-17,0,0,,,0,0,,
2011-07-18,0,0,,,14,0.43472948052789584,5478c8c8306ba22f2f0d73b0,"Cut, Cap And Balance: Not About Jobs in the Short Term"
2011-07-19,0,0,,,0,0,,
2011-07-20,0,0,,,0,0,,
2011-07-21,0,0,,,153,1.1626080884281498,5478c816306ba22f2f0d731b,"For Grassroots Conservatives in Debt Fight, the GOP Is Now the Enemy"
2011-07-22,0,0,,,380,0.325758400563791,5478c8ca306ba22f2f0d73b2,Poll: Bruce Springsteen Could Be The Boss of New Jersey
2011-07-23,0,0,,,0,0,,
2011-07-24,0,0,,,0,0,,
2011-07-25,0,0,,,0,0,,
2011-07-26,0,0,,,0,0,,
2011-07-27,0,0,,,0,0,,
2011-07-28,0,0,,,632,2.76796572906286,5478c85d306ba22f2f0d7355,We re Flattered: New George Clooney Movie Poster Features TIME Cover
2011-07-29,0,0,,,0,0,,
2011-07-30,0,0,,,0,0,,
2011-07-31,0,0,,,0,0,,
2011-08-01,0,0,,,0,0,,
2011-08-02,0,0,,,0,0,,
2011-08-03,0,0,,,0,0,,
2011-08-04,0,0,,,0,0,,
2011-08-05,0,0,,,0,0,,
2011-08-06,0,0,,,0,0,,
2011-08-07,0,0,,,0,0,,
2011-08-08,0,0,,,78,1.062737798159507,5478c8c7306ba22f2f0d73af,"Facing Economic Headwinds, Obama Struggles Again to Find an August Storyline"
2011-08-09,0,0,,,0,0,,
2011-08-10,0,0,,,0,0,,
2011-08-11,0,0,,,0,0,,
2011-08-12,0,0,,,22,1.315739318237919,5478c7eb306ba22f2f0d7303,"Bachmann, Pawlenty Spar in Iowa Debate, but Status Quo Survives"
2011-08-13,0,0,,,0,0,,
2011-08-14,0,0,,,0,0,,
2011-08-15,1,0.20939514198718095,5478c749306ba22f2f0d728f,The Tea Party's Triumph,202,1.0785310525484568,5478c85b306ba22f2f0d7353,Notes on an Elephant in Despair
2011-08-16,0,0,,,0,0,,
2011-08-17,0,0,,,0,0,,
2011-08-18,0,0,,,0,0,,
2011-08-19,0,0,,,0,0,,
2011-08-20,0,0,,,0,0,,
2011-08-21,0,0,,,0,0,,
2011-08-22,0,0,,,0,0.26503484807968364,,
2011-08-23,0,0,,,0,0,,
2011-08-24,0,0,,,0,0,,
2011-08-25,0,0,,,0,0,,
2011-08-26,0,0,,,0,0,,
2011-08-27,0,0,,,0,0,,
2011-08-28,0,0,,,0,0,,
2011-08-29,0,0,,,0,0,,
2011-08-30,0,0,,,0,0,,
2011-08-31,0,0,,,0,0,,
2011-09-01,0,0,,,158,1.2061879813168783,5478c8c6306ba22f2f0d73ad, Survivor  Star Rupert Boneham Mulls a Run for Indiana Governor
2011-09-02,0,0,,,0,0,,
2011-09-03,0,0,,,0,0,,
2011-09-04,0,0,,,0,0,,
2011-09-05,0,0,,,0,0,,
2011-09-06,0,0,,,0,0,,
2011-09-07,0,0,,,3,1.0870445369424946,5478c7e9306ba22f2f0d7301,Romney and Perry Clash in Debate as GOP Primary s Bloodletting Begins
2011-09-08,0,0,,,5,2.675199060467257,5478c7e7306ba22f2f0d7300,GOP  12 Reax to Obama Speech
2011-09-09,0,0,,,0,0,,
2011-09-10,0,0,,,0,0,,
2011-09-11,0,0,,,0,0,,
2011-09-12,0,0,,,0,0.031351877515677806,,
2011-09-13,0,0,,,639,2.404443555428178,5478c7b6306ba22f2f0d72e7,What You Missed While Not Watching Last Night s Tea Party Debate
2011-09-14,0,0,,,119,1.1727343937993064,5478c859306ba22f2f0d7350,Lucky and Good: Rick Perry s Lone Star Rise to Power
2011-09-15,0,0,,,0,0,,
2011-09-16,0,0,,,0,0,,
2011-09-17,0,0,,,0,0,,
2011-09-18,0,0,,,0,0,,
2011-09-19,0,0,,,0,0,,
2011-09-20,0,0,,,0,0,,
2011-09-21,0,0,,,6,0.9612095950180843,5478c7e9306ba22f2f0d7302,The Great Communicator
2011-09-22,0,0,,,0,0,,
2011-09-23,0,0,,,20,1.8281519451288928,5478c85a306ba22f2f0d7351,Five Unanswered Questions About the Iowa Caucus
2011-09-24,0,0,,,0,0,,
2011-09-25,0,0,,,0,0,,
2011-09-26,1,0.68688669312775,5478c85a306ba22f2f0d7352,The View from the Border,64,0.36011556959846125,5478c722306ba22f2f0d726f,Southern Bellwether: Florida s Crucial 2012 Contest Takes Shape
2011-09-27,0,0,,,72,1.70118185777047,5478c71d306ba22f2f0d7269,Christie: The Speech
2011-09-28,0,0,,,0,0,,
2011-09-29,0,0,,,0,0,,
2011-09-30,0,0,,,262,1.435523376737117,5478c815306ba22f2f0d731a,Game Time: Nebraska s Farewell to the Big 12
2011-10-01,0,0,,,0,0,,
2011-10-02,0,0,,,0,0,,
2011-10-03,16,0.560077468343497,5478c8c4306ba22f2f0d73aa,How Science Can Lead the Way,0,0,,
2011-10-04,0,0,,,0,0,,
2011-10-05,0,0,,,0,0,,
2011-10-06,0,0,,,0,0,,
2011-10-07,0,0,,,0,0,,
2011-10-08,0,0,,,0,0,,
2011-10-09,0,0,,,0,0,,
2011-10-10,2,1.012529999558991,5478c7bb306ba22f2f0d72eb,No. 1 A new Era Of Volatility,8,3.1688799045335942,5478c762306ba22f2f0d72a4,Romney Leads  12 Field in NH
2011-10-11,0,0,,,108,8.490701652739334,5478c705306ba22f2f0d7256,Complete Transcript of Hanover Economic Debate
2011-10-12,0,0,,,0,0,,
2011-10-13,0,0,,,7,1.0014594179832432,5478c7b5306ba22f2f0d72e6,"Bachmann, Santorum Join Silver State Boycott"
2011-10-14,0,0,,,0,0,,
2011-10-15,0,0,,,0,0,,
2011-10-16,0,0,,,0,0,,
2011-10-17,1,0.6753306469606952,5478c798306ba22f2f0d72d2,The High Cost of Congestion,0,0.35150815442303457,,
2011-10-18,0,0,,,15,1.3971243035593937,5478c71c306ba22f2f0d7268,Transcript: Jon Huntsman on  Andrea Mitchell Reports 
2011-10-19,0,0,,,425,3.0444513794671373,5478c7e6306ba22f2f0d72ff,What You Missed While Not Watching the Las Vegas GOP Debate
2011-10-20,0,0,,,3,1.4503464868504194,5478c8c4306ba22f2f0d73ab,Must Win
2011-10-21,0,0,,,0,0,,
2011-10-22,0,0,,,0,0,,
2011-10-23,0,0,,,0,0,,
2011-10-24,0,0.8527520446486283,,,0,0,,
2011-10-25,0,0,,,0,0,,
2011-10-26,0,0,,,0,0,,
2011-10-27,0,0,,,788,1.1115062115724734,5478c70c306ba22f2f0d7258,"Q&A;: Hillary Clinton on Libya, China, the Middle East and Barack Obama"
